,number,value,params_alpha,params_booster,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_mol_dst,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,state
148,148,0.9165210236718618,0.13485123080906095,dart,0.11478633786177388,0.29694458812464597,depthwise,0.10776767344578156,8.0,RDKit2D,forest,0.00010661390241321221,uniform,1.3146263376348521e-08,COMPLETE
149,149,0.9141755459067001,0.6366640907126998,dart,0.24646668675309003,8.213415316734519e-08,depthwise,0.0012032343077274213,9.0,RDKit2D,forest,7.367775778682608e-05,weighted,1.4547818136032834e-07,COMPLETE
150,150,0.9127588980971636,0.4200632616102525,dart,0.23658507581256213,1.1779334573718214e-08,depthwise,0.1398510237637687,9.0,RDKit2D,forest,0.00027751173492367225,weighted,1.3536485194214702e-08,COMPLETE
151,151,0.914211313949246,0.16402729122803048,dart,0.13672216786804622,1.7003080927777646e-08,depthwise,0.18158197445232235,9.0,ECFP2,forest,1.2174230294310574e-05,weighted,2.091538915839185e-07,COMPLETE
152,152,0.9019536806420021,0.03710426159647412,dart,0.015376918334177815,1.9301532564210515e-08,depthwise,0.004016595087569602,9.0,RDKit2D,forest,0.0003492341346379726,uniform,1.0813747927028513e-08,COMPLETE
153,153,0.919911132859976,0.12580288304890974,dart,0.2041851588470187,1.1863210641172191e-08,depthwise,0.06938857714778546,8.0,RDKit2D,forest,1.694743713660247e-05,weighted,1.5978768990039328e-07,COMPLETE
154,154,0.876884845603524,0.20698852040192298,dart,0.02499094289673757,0.00631656024119013,depthwise,0.07746447587052441,8.0,Daylight,forest,2.9878609451483467e-06,weighted,8.073088062999617e-07,COMPLETE
155,155,0.8572302924450828,0.01867958678236709,gblinear,,,,0.006540315610421202,,RDKit2D,,,,,COMPLETE
156,156,0.9192610431117176,0.1290953933243105,gbtree,0.18882239976895623,0.0002513045351569037,depthwise,0.22824743271781314,7.0,RDKit2D,,,,,COMPLETE
157,157,0.9045211811981637,0.11195627785895508,gbtree,0.6904779134463643,7.004626077547825e-05,depthwise,0.04275229448537253,6.0,RDKit2D,,,,,COMPLETE
158,158,0.8947036621256791,0.0796016804606285,dart,0.9980480403073826,1.2705887345912864e-08,depthwise,0.00016041393774996704,8.0,ECFP4,forest,5.6827939228912114e-06,weighted,9.983218360370666e-07,COMPLETE
159,159,0.918465877172765,0.21755408645302388,gbtree,0.06914944695583157,0.00014706887073050206,lossguide,0.11681753227386843,6.0,RDKit2D,,,,,COMPLETE
160,160,0.9059381307944209,0.3629023385528285,gbtree,0.08524503158232158,0.00010252301724159144,depthwise,0.06894016093926947,6.0,MACCS,,,,,COMPLETE
161,161,0.9180940315566524,0.47416289613625057,gbtree,0.07790558256597795,6.666449726626205e-05,lossguide,0.022306550338357337,5.0,RDKit2D,,,,,COMPLETE
162,162,0.8908624239951871,0.017396233786135657,gbtree,0.011476403731885397,2.7746836883629556e-05,lossguide,0.07467993740666626,4.0,RDKit2D,,,,,COMPLETE
163,163,0.9128497306090818,0.04550290152051114,gbtree,0.06701207204826597,5.414183737810861e-05,lossguide,0.028312588162324036,5.0,RDKit2D,,,,,COMPLETE
164,164,0.9190203536786689,0.8963401567251075,gbtree,0.06831833811199937,1.4667579384584303e-05,lossguide,0.12138094664611912,5.0,RDKit2D,,,,,COMPLETE
165,165,0.9124943316389696,0.5363021069221001,gbtree,0.10648766390429609,2.411406418960464e-05,lossguide,0.00923839924010538,4.0,RDKit2D,,,,,COMPLETE
166,166,0.8962314285810811,0.11205189057144829,gbtree,0.1323824078784065,9.321733815235152e-06,lossguide,0.24109833934443997,5.0,Daylight,,,,,COMPLETE
167,167,0.905750296500843,0.058682512775413524,gbtree,0.10191564842414957,5.7587526695442274e-05,lossguide,0.17975046901363237,5.0,ECFP4,,,,,COMPLETE
168,168,0.8746835020947842,0.9873593197198502,gbtree,0.006636052909791238,2.0874326282106063e-05,lossguide,0.7645182870997195,5.0,RDKit2D,,,,,COMPLETE
169,169,0.9012562118373191,0.7494956953716801,gbtree,0.7967476379119784,0.0002755010493893463,lossguide,0.08685341234034427,5.0,RDKit2D,,,,,COMPLETE
170,170,0.8821921177531366,0.0036448326145376085,gbtree,0.015428766081876216,3.3748729059446115e-06,lossguide,0.10655687583880412,6.0,ECFP2,,,,,COMPLETE
171,171,0.9166526174323557,0.08332853043377433,gbtree,0.04520375802414205,0.00014409544960932382,lossguide,0.00010787396637467622,7.0,RDKit2D,,,,,COMPLETE
172,172,0.9103679069892028,0.2669750821898311,gbtree,0.047168128023132326,3.2248933710213735e-07,lossguide,0.49534752292586187,6.0,ECFP2,,,,,COMPLETE
173,173,0.9189827832643965,0.8129020908113438,gbtree,0.08522322175865986,0.00012279651170329852,lossguide,0.00011506948966323159,7.0,RDKit2D,,,,,COMPLETE
174,174,0.9160197936122749,0.8454030230126912,gbtree,0.1529804753823335,6.902146764783636e-05,lossguide,1.034237529043582e-05,6.0,RDKit2D,,,,,COMPLETE
175,175,0.9018515270619257,0.23866303465643768,gbtree,0.16406167394224536,0.0002745693933404244,lossguide,0.007223133181837215,8.0,Morgan,,,,,COMPLETE
176,176,0.9127321826146539,0.06057995404181744,gbtree,0.09766349453271407,0.00012178337657398606,lossguide,0.0003889477478689228,7.0,ECFP2,,,,,COMPLETE
177,177,0.8783895801380049,0.00011252559369582911,dart,0.007600391897101455,1.5484995266759435e-05,lossguide,1.913450544974986e-08,5.0,RDKit2D,forest,1.4583905802302118e-08,weighted,0.17958242231236907,COMPLETE
178,178,0.9156313606965597,0.011123792011477595,gbtree,0.19682903812932687,0.00017261612179793692,lossguide,0.8489999661592541,6.0,RDKit2D,,,,,COMPLETE
179,179,0.9142024096713062,0.6550364355067708,gbtree,0.029586716266161408,0.0002022026098585008,lossguide,0.0007008066301524346,8.0,RDKit2D,,,,,COMPLETE
180,180,0.5,0.16495195907016763,gblinear,,,,0.23570077078676016,,MACCS,,,,,COMPLETE
181,181,0.9064743346150866,0.26748883232189524,gbtree,0.016614592699946747,0.3343029055691571,lossguide,2.9400820343074516e-05,7.0,RDKit2D,,,,,COMPLETE
182,182,0.5,0.3093241487750715,gblinear,,,,0.15356964567154535,,RDKit2D,,,,,COMPLETE
183,183,0.9090377455828937,0.41089874066160703,gbtree,0.08698436446434642,2.264063213486782e-07,lossguide,0.00041635396039597786,7.0,ECFP4,,,,,COMPLETE
184,184,0.9107085292761099,0.00542152649906708,gbtree,0.029443685881533982,1.0300719678668721e-05,lossguide,0.0003885930539241691,7.0,RDKit2D,,,,,COMPLETE
185,185,0.9067229583259907,1.9920701258167667e-06,gbtree,0.20142215288278753,8.575533482547521e-08,depthwise,2.6827787154753682e-08,6.0,RDKit2D,,,,,COMPLETE
186,186,0.8117949284464533,5.634355387884143e-05,dart,0.0022532292084147722,0.062210903283526485,lossguide,1.4333228401488672e-08,8.0,RDKit2D,forest,3.122710549578795e-05,weighted,1.0422559942389348e-07,COMPLETE
187,187,0.8907121668508111,0.029524707698527816,gbtree,0.8656551509185841,0.0007371439731897763,depthwise,0.00019197177606628527,3.0,RDKit2D,,,,,COMPLETE
188,188,0.9143805429289298,0.00217610892707161,dart,0.02729978394132587,1.263175222857909e-07,depthwise,1.6490999747776928e-06,6.0,RDKit2D,forest,4.058986040102728e-05,weighted,1.0082602173974683e-07,COMPLETE
189,189,0.918706808222572,0.1211744843811192,dart,0.09090439043628624,0.7386059734523329,depthwise,4.66686222761785e-05,7.0,RDKit2D,forest,2.918527984899995e-05,weighted,1.1754933890445171e-08,COMPLETE
190,190,0.916582241968892,0.03415516907777011,dart,0.14032689990083497,0.23608835579398774,lossguide,3.3222345461257604e-05,8.0,RDKit2D,forest,4.754278239971458e-06,weighted,1.000484556935511e-08,COMPLETE
191,191,0.8907103216381822,0.5572391781520496,dart,0.19638090494249888,0.3040179475657912,depthwise,5.235733825166841e-06,1.0,RDKit2D,forest,2.3118664966745778e-05,weighted,1.5128068549212703e-07,COMPLETE
192,192,0.9017686326957243,0.9413332180675872,gbtree,0.024087204890402142,0.8492384135184566,depthwise,0.4445987119071187,7.0,Morgan,,,,,COMPLETE
193,193,0.9184270692000611,0.5365429602852102,dart,0.049066891377028715,0.22595403752532858,depthwise,0.0078027321407028675,7.0,RDKit2D,forest,2.4389070973619685e-05,weighted,9.196440034471084e-08,COMPLETE
194,194,0.9084158362699482,0.009173285891446161,dart,0.09646264872555807,0.6238050291158176,depthwise,0.00010064650314254607,7.0,ECFP2,tree,1.159631911271924e-06,weighted,1.6822722097843067e-07,COMPLETE
195,195,0.9162363700098156,0.8853039184127243,dart,0.10889600762067936,0.9050233308858067,depthwise,0.0010991961842956783,6.0,RDKit2D,forest,1.2875519776124254e-05,uniform,1.2312995229663504e-07,COMPLETE
196,196,0.9080598029294901,0.8438238529164751,gbtree,0.021964133317141248,0.0825081301457311,depthwise,0.021985255202759263,8.0,RDKit2D,,,,,COMPLETE
197,197,0.908537941483282,0.8101373129286865,dart,0.87148391255241,0.05267331155053599,depthwise,0.023508720066430438,7.0,RDKit2D,forest,0.02776909549641725,weighted,8.273002185872807e-08,COMPLETE
198,198,0.9143688347297779,0.13332840240899707,dart,0.06497993637341293,0.06431650180292305,depthwise,0.00019550734267313668,5.0,RDKit2D,forest,1.0382110074329812e-05,weighted,9.204488403601544e-07,COMPLETE
199,199,0.9164988069344286,0.021475564977481505,dart,0.10688633066377497,0.02933217643714755,depthwise,1.0483955250199568e-08,6.0,RDKit2D,forest,6.9662847404648e-05,weighted,1.1169103975742332e-08,COMPLETE
